data_year,farmer_uid,purchase_date,site_id,village_id,irpg_id,status,variety,unit_price_riel,quantity_kg,number_of_sacks,total_amount_riel,borrowed_seed_kg,returned_seed_kg,reduction_money_riel,borrowed_money_riel,total_payment_riel,fee_transportation_riel,thresher_machine
2019,PREY VENG|PV003,12/7/2019,1,1,1,Organic,Phka Rumduol,1650,3746,,6180900,,,0,,6180900,,
2019,PREY VENG|PV004,12/7/2019,1,1,1,Organic,Phka Rumduol,1700,5682,,9659400,,85,144500,,9514900,,
2019,PREY VENG|PV007,12/7/2019,1,1,1,Organic,Phka Rumduol,1650,1805,,2978250,,,0,,2978250,,
2019,PREY VENG|PV012,12/7/2019,1,1,1,Organic,Phka Rumduol,1700,1172,,1992400,,,0,,1992400,,
2019,PREY VENG|PV013,12/7/2019,1,1,1,Organic,Phka Rumduol,1650,2000,,3300000,,,0,,3300000,,
2019,PREY VENG|PV013,12/8/2019,1,1,1,Organic,Local Variety,1350,1666,,2249100,,,0,,2249100,,
2019,PREY VENG|PV017,12/7/2019,1,1,1,Organic,Phka Rumduol,1750,1717,,3004750,,99,173250,,2831500,,
2019,PREY VENG|PV018,12/7/2019,1,1,1,Organic,Phka Rumduol,1700,930,,1581000,,,0,,1581000,,
2019,PREY VENG|PV024,12/7/2019,1,1,1,Organic,Phka Rumduol,1700,2061,,3503700,,110,187000,,3316700,,
2019,PREY VENG|PV024,12/7/2019,1,1,1,Organic,Phka Rumduol,1650,2296,,3788400,,,0,,3788400,,
2019,PREY VENG|PV025,12/7/2019,1,1,1,Organic,Phka Rumduol,1650,2083,,3436950,,55,90750,,3346200,,
2019,PREY VENG|PV028,12/7/2019,1,1,1,Organic,Phka Rumduol,1700,2774,,4715800,,55,93500,,4622300,,
2019,PREY VENG|PV033,12/7/2019,1,1,1,Organic,Phka Rumduol,1650,4536,,7484400,,,0,,7484400,,
2019,PREY VENG|PV039,12/8/2019,1,1,1,Organic,Phka Rumduol,1650,1105,,1823250,,,0,,1823250,,
2019,PREY VENG|PV045,12/7/2019,1,1,1,Organic,Phka Rumduol,1650,3683,,6076950,,201,331650,,5745300,,
2019,PREY VENG|PV046,12/7/2019,1,1,1,Organic,Phka Rumduol,1650,812,,1339800,,,0,,1339800,,
2019,PREY VENG|PV048,12/8/2019,1,1,1,Organic,Phka Rumduol,1700,2207,,3751900,,,0,,3751900,,
2019,PREY VENG|PV048,12/20/2019,1,1,1,Organic,Local Variety,1400,1663,,2328200,,,0,,2328200,,
2019,PREY VENG|PV049,12/7/2019,1,1,1,Organic,Phka Rumduol,1650,3641,,6007650,,80,132000,,5875650,,
