data_year,farmer_uid,site_id,village_id,family_id_raw,moisture,color,rice_impurity,rice_husk,good_grain_pct,broken_grain_pct,grade,variety,status,price_riel
2020,PREY VENG|PV012,1,1,PV012,13.7,Good,2,0.8,66,34,B1,Phka Rumduol,Organic,1700
2020,PREY VENG|PV024,1,1,PV024,12,Good,0,0.86,,,A1,Certified Seed,Organic,1850
2020,PREY VENG|PV024,1,1,PV024,12,Good,0,0.21,,,A1,Sbai Mongkul foundation seed,Organic,1950
2020,PREY VENG|PV025,1,1,PV025,14.3,Good,1.6,1.38,50,50,B2,Phka Rumduol,Organic,1650
2020,PREY VENG|PV045,1,1,PV045,13.6,Good,0.3,2.2,85,15,A,Phka Rumduol,Ibis I,1500
2020,PREY VENG|PV049,1,1,PV049,13.9,Good,0.52,1.14,70,30,A2,Phka Rumduol,Organic,1750
2020,PREY VENG|PV060,1,1,PV060,12,Good,0,0.68,,,A1,Certified Seed,Organic,1850
2020,PREY VENG|PV060,1,1,PV060,14.6,Good,0.02,1,70,30,B1,Sticky Rice,Organic,1700
2020,PREY VENG|PV060,1,1,PV060,12.9,Good,0.24,0.98,76,24,A1,Phka Rumduol,Organic,1850
2020,PREY VENG|PV067,1,1,PV067,16,Good,3.74,4.84,72,28,B2,Phka Rumduol,Organic,1650
2020,PREY VENG|PV068,1,1,PV068,15,,,0.42,,,A,White Rice,Organic,1400
2020,PREY VENG|PV068,1,1,PV068,14.8,Good,0.6,1.06,64,36,B1,Phka Rumduol,Organic,1700
2020,PREY VENG|PV074,1,1,PV074,14.5,Good,1.14,0.8,50,50,B2,Phka Rumduol,Organic,1650
2020,PREY VENG|PV076,1,1,PV076,15,Good,0,0.6,54,46,B2,Sticky Rice,Organic,1650
2020,PREY VENG|PV076,1,1,PV076,13.4,Good,0.91,1.5,84,16,A1,Phka Rumduol,Organic,1850
2020,PREY VENG|PV084,1,1,PV084,15,Good,,0.3,,100,B,White Rice,Organic,1350
2020,PREY VENG|PV090,1,1,PV090,14.8,Good,0.08,3,,100,A,White Rice,Organic,1400
2020,PREY VENG|PV090,1,1,PV090,14.5,Good,0.68,0.94,64,36,B1,Phka Rumduol,Organic,1700
2020,PREY VENG|PV096,1,1,PV096,15,Good,1.14,0.28,82,18,A,Phka Rumduol,Ibis I,1500
2020,PREY VENG|PV097,1,1,PV097,13.5,Good,0.1,1,60,40,B,Phka Rumduol,Ibis I,1450
2020,PREY VENG|PV098,1,1,PV098,13.9,Good,0.7,4.28,70,30,A,Phka Rumduol,Ibis I,1500
2020,PREY VENG|PV108,1,1,PV108,14,Good,0.7,0.78,60,40,B,Phka Rumduol,Ibis I,1450
2020,PREY VENG|PV114,1,1,PV114,13,Good,0.48,0.68,80,20,A1,Phka Rumduol,Organic,1850
2020,SAMBOU|SB004,1,2,SB004,13.9,Good,2.64,3.2,50,50,B2,Phka Rumduol,Organic,1650
2020,SAMBOU|SB033,1,2,SB033,13.9,Good,1.26,2.2,50,50,B2,Phka Rumduol,Organic,1650
2020,SAMBOU|SB037,1,2,SB037,13.8,Good,1.26,4.84,54,46,B2,Phka Rumduol,Organic,1650
2020,SAMBOU|SB049,1,2,SB049,14.4,Good,0.12,2.86,70,30,A,Phka Rumduol,Ibis I,1500
2020,SAMBOU|SB054,1,2,SB054,14.8,,,0.92,,,B,White Rice,Organic,1350
2020,SAMBOU|SB054,1,2,SB054,13.8,Good,0.12,4.26,56,44,B2,Phka Rumduol,Organic,1650
2020,SAMBOU|SB057,1,2,SB057,14.9,Good,1.58,6.2,72,28,B1,Phka Rumduol,Organic,1700
2020,SAMBOU|SB058,1,2,SB058,14.5,,,0.88,,,B,White Rice,Organic,1350
2020,SAMBOU|SB058,1,2,SB058,14.4,Good,1.02,5.88,68,32,B1,Phka Rumduol,Organic,1700
2020,SAMBOU|SB063,1,2,SB063,14,Good,0.3,6,60,40,B,Phka Rumduol,Ibis I,1450
2020,SAMBOU|SB065,1,2,SB065,14.5,Good,0.28,5.72,62,38,B1,Phka Rumduol,Organic,1700
2020,SAMBOU|SB066,1,2,SB066,14.5,Good,0.12,2.08,68,32,B1,Phka Rumduol,Organic,1700
2020,SAMBOU|SB073,1,2,SB073,15,Good,0.7,6.36,68,32,B,Phka Rumduol,Ibis I,1450
2020,SAMBOU|SB083,1,2,SB083,15,Good,1.02,2.86,50,50,B,Phka Rumduol,Ibis I,1450
2020,SAMBOU|SB087,1,2,SB087,14.9,,,0.52,,,B,White Rice,Organic,1350
2020,SAMBOU|SB087,1,2,SB087,14.8,Good,5.6,2.9,52,48,B2,Phka Rumduol,Organic,1650
2020,SAMBOU|SB088,1,2,SB088,13.9,Good,0.24,4.68,50,50,B2,Phka Rumduol,Organic,1650
2020,SAMBOU|SB091,1,2,SB091,14.4,Good,5.82,5.96,76,24,B2,Phka Rumduol,Organic,1650
2020,SAMBOU|SB092,1,2,SB092,14.6,Good,5,2.62,50,50,B,Phka Rumduol,Ibis I,1450
2020,SAMBOU|SB096,1,2,SB096,14.2,Good,0.26,2.48,74,26,A,Phka Rumduol,Ibis I,1500
2020,SAMBOU|SB123,1,2,SB123,14.8,Good,0.62,1.08,52,48,B,Phka Rumduol,Ibis I,1450
2020,SAMBOU|SB126,1,2,SB126,14.6,Good,2.68,1.9,50,50,B2,Phka Rumduol,Organic,1650
2020,KAMPENH|KH001,1,6,KH001,13.8,Good,0.1,1.63,60,40,B1,Phka Rumduol,Organic,1700
2020,KAMPENH|KH001,1,6,KH001,15,Good,0.1,2,70,30,A2,Sticky Rice,Organic,1750
2020,KAMPENH|KH001,1,6,KH001,14.6,,,3,,,A,White Rice,Organic,1400
